l=2, n=47, t=3, Greedy Time: 0.0540 seconds, B&B Time: 0.0010 seconds
l=2, n=47, t=4, Greedy Time: 0.0660 seconds, B&B Time: 0.0010 seconds
l=2, n=47, t=5, Greedy Time: 0.1130 seconds, B&B Time: 0.0010 seconds
l=2, n=48, t=2, Greedy Time: 0.0330 seconds, B&B Time: 0.0010 seconds
l=2, n=48, t=3, Greedy Time: 0.0490 seconds, B&B Time: 0.0010 seconds
l=2, n=48, t=4, Greedy Time: 0.0750 seconds, B&B Time: 0.0000 seconds
l=2, n=48, t=5, Greedy Time: 0.1330 seconds, B&B Time: 0.0000 seconds
l=2, n=49, t=2, Greedy Time: 0.0310 seconds, B&B Time: 0.0000 seconds
l=2, n=49, t=3, Greedy Time: 0.0490 seconds, B&B Time: 0.0010 seconds
l=2, n=49, t=4, Greedy Time: 0.0740 seconds, B&B Time: 0.0000 seconds
l=2, n=49, t=5, Greedy Time: 0.1140 seconds, B&B Time: 0.0010 seconds
l=2, n=50, t=2, Greedy Time: 0.0330 seconds, B&B Time: 0.0000 seconds
l=2, n=50, t=3, Greedy Time: 0.0560 seconds, B&B Time: 0.0010 seconds
l=2, n=50, t=4, Greedy Time: 0.0820 seconds, B&B Time: 0.0000 seconds
l=2, n=50, t=5, Greedy Time: 0.1280 seconds, B&B Time: 0.0010 seconds
l=2, n=51, t=2, Greedy Time: 0.0380 seconds, B&B Time: 0.0010 seconds
l=2, n=51, t=3, Greedy Time: 0.0620 seconds, B&B Time: 0.0010 seconds
l=2, n=51, t=4, Greedy Time: 0.0920 seconds, B&B Time: 0.0010 seconds
l=2, n=51, t=5, Greedy Time: 0.1770 seconds, B&B Time: 0.0000 seconds
l=2, n=52, t=2, Greedy Time: 0.0330 seconds, B&B Time: 0.0010 seconds
l=2, n=52, t=3, Greedy Time: 0.0550 seconds, B&B Time: 0.0010 seconds
l=2, n=52, t=4, Greedy Time: 0.0980 seconds, B&B Time: 0.0010 seconds
l=2, n=52, t=5, Greedy Time: 0.1610 seconds, B&B Time: 0.0010 seconds
l=2, n=53, t=2, Greedy Time: 0.0340 seconds, B&B Time: 0.0010 seconds
l=2, n=53, t=3, Greedy Time: 0.0770 seconds, B&B Time: 0.0000 seconds
l=2, n=53, t=4, Greedy Time: 0.0950 seconds, B&B Time: 0.0010 seconds
l=2, n=53, t=5, Greedy Time: 0.1520 seconds, B&B Time: 0.0010 seconds
l=2, n=54, t=2, Greedy Time: 0.0290 seconds, B&B Time: 0.0010 seconds
l=2, n=54, t=3, Greedy Time: 0.0780 seconds, B&B Time: 0.0010 seconds
l=2, n=54, t=4, Greedy Time: 0.1160 seconds, B&B Time: 0.0010 seconds
l=2, n=54, t=5, Greedy Time: 0.1600 seconds, B&B Time: 0.0000 seconds
l=2, n=55, t=2, Greedy Time: 0.0330 seconds, B&B Time: 0.0010 seconds
l=2, n=55, t=3, Greedy Time: 0.0650 seconds, B&B Time: 0.0010 seconds
l=2, n=55, t=4, Greedy Time: 0.0990 seconds, B&B Time: 0.0000 seconds
l=2, n=55, t=5, Greedy Time: 0.1820 seconds, B&B Time: 0.0010 seconds
l=2, n=56, t=2, Greedy Time: 0.0330 seconds, B&B Time: 0.0010 seconds
l=2, n=56, t=3, Greedy Time: 0.0696 seconds, B&B Time: 0.0000 seconds
l=2, n=56, t=4, Greedy Time: 0.1390 seconds, B&B Time: 0.0000 seconds
l=2, n=56, t=5, Greedy Time: 0.1930 seconds, B&B Time: 0.0010 seconds
l=2, n=57, t=2, Greedy Time: 0.0520 seconds, B&B Time: 0.0010 seconds
l=2, n=57, t=3, Greedy Time: 0.0810 seconds, B&B Time: 0.0010 seconds
l=2, n=57, t=4, Greedy Time: 0.1050 seconds, B&B Time: 0.0000 seconds
l=2, n=57, t=5, Greedy Time: 0.1800 seconds, B&B Time: 0.0010 seconds
l=2, n=58, t=2, Greedy Time: 0.0375 seconds, B&B Time: 0.0010 seconds
l=2, n=58, t=3, Greedy Time: 0.0770 seconds, B&B Time: 0.0010 seconds
l=2, n=58, t=4, Greedy Time: 0.1310 seconds, B&B Time: 0.0030 seconds
l=2, n=58, t=5, Greedy Time: 0.1720 seconds, B&B Time: 0.0000 seconds
l=2, n=59, t=2, Greedy Time: 0.0400 seconds, B&B Time: 0.0010 seconds
l=2, n=59, t=3, Greedy Time: 0.0940 seconds, B&B Time: 0.0010 seconds
l=2, n=59, t=4, Greedy Time: 0.1477 seconds, B&B Time: 0.0010 seconds
l=2, n=59, t=5, Greedy Time: 0.1680 seconds, B&B Time: 0.0010 seconds
l=2, n=60, t=2, Greedy Time: 0.0360 seconds, B&B Time: 0.0000 seconds
l=2, n=60, t=3, Greedy Time: 0.0970 seconds, B&B Time: 0.0010 seconds
l=2, n=60, t=4, Greedy Time: 0.1440 seconds, B&B Time: 0.0010 seconds
l=2, n=60, t=5, Greedy Time: 0.1720 seconds, B&B Time: 0.0010 seconds
l=2, n=61, t=2, Greedy Time: 0.0370 seconds, B&B Time: 0.0010 seconds
l=2, n=61, t=3, Greedy Time: 0.1063 seconds, B&B Time: 0.0020 seconds
l=2, n=61, t=4, Greedy Time: 0.1900 seconds, B&B Time: 0.0020 seconds
l=2, n=61, t=5, Greedy Time: 0.1680 seconds, B&B Time: 0.0000 seconds
l=2, n=62, t=2, Greedy Time: 0.0400 seconds, B&B Time: 0.0020 seconds
